revision,layer,group_family,group,n,mean_curvature,mean_entropy,mean_speed,curvature_entropy_pearson
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_006_019,4,2.0886113345623016,9.247838616371155,39.77443790435791,0.3982855421881138
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_020_049,37,2.089968194832673,8.848391030285809,37.80056551340464,0.019921358077603896
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_050_099,37,2.0926463217348665,8.836265899039603,40.65741719426335,-0.2532732068644106
step128,15,surface_combo,word_piece_continuation|no_punct|unknown_before_first_boundary|tok_006_019,21,2.1354894127164568,8.98266551608131,34.968926111857094,-0.09120106137355945
step128,15,surface_combo,word_piece_continuation|no_punct|unknown_before_first_boundary|tok_020_049,9,2.1222354968388877,8.107874287499321,38.71547105577257,-0.4736125301477422
step128,15,surface_combo,word_start|no_punct|after_sentence_13_plus|tok_020_049,102,2.0699761661828733,8.131455122255812,35.6142941830205,-0.12266292864454938
step128,15,surface_combo,word_start|no_punct|after_sentence_13_plus|tok_050_099,274,2.080920369955745,7.893683610171297,36.07998133053745,-0.12572154681486422
step128,15,surface_combo,word_start|no_punct|after_sentence_13_plus|tok_100_plus,15,2.007116452852885,7.863884862263998,36.29661547342936,-0.11419262945105535
step128,15,surface_combo,word_start|no_punct|after_sentence_1_3|tok_006_019,60,2.0668669362862904,8.41290742556254,38.302247587839766,-0.01438893332308624
step128,15,surface_combo,word_start|no_punct|after_sentence_1_3|tok_020_049,175,2.078725384303502,8.14803384235927,40.77610997881208,-0.11550034500401878
step128,15,surface_combo,word_start|no_punct|after_sentence_1_3|tok_050_099,159,2.1082046076936543,8.094150189333742,41.903227596163,-0.018252379535926004
step128,15,surface_combo,word_start|no_punct|after_sentence_4_12|tok_006_019,26,2.0340475806823144,8.52177588756268,36.96892804365892,-0.3070826893392823
step128,15,surface_combo,word_start|no_punct|after_sentence_4_12|tok_020_049,288,2.0885716598067017,8.1431721482012,36.4663963649008,-0.026483210722031275
step128,15,surface_combo,word_start|no_punct|after_sentence_4_12|tok_050_099,359,2.095137675160485,8.009308324965925,37.68908792352278,-0.10091908505344238
step128,15,surface_combo,word_start|no_punct|unknown_before_first_boundary|tok_006_019,258,2.097319257813831,8.353546449380328,34.43766352187755,-0.10663166801952843
step128,15,surface_combo,word_start|no_punct|unknown_before_first_boundary|tok_020_049,148,2.114347254907763,8.052330271617786,35.864829566027666,-0.08912234616015804
step128,15,surface_combo,word_start|other_punct_only|after_sentence_13_plus|tok_020_049,7,2.0336866889681136,9.388616834368024,37.810861587524414,0.08895598428038079
step128,15,surface_combo,word_start|other_punct_only|after_sentence_13_plus|tok_050_099,14,2.08475113766534,8.64100980758667,36.54044778006418,0.042998096652730536
step128,15,surface_combo,word_start|other_punct_only|after_sentence_13_plus|tok_100_plus,1,1.8823533058166504,9.842429161071777,35.56857681274414,nan
step128,15,surface_combo,word_start|other_punct_only|after_sentence_1_3|tok_006_019,15,2.0573150873184205,9.763296000162761,37.156345240275066,-0.01774251096084247
step128,15,surface_combo,word_start|other_punct_only|after_sentence_1_3|tok_020_049,47,2.0734501087919193,9.664188405300708,39.393982866977126,0.080791608116093
step128,15,surface_combo,word_start|other_punct_only|after_sentence_1_3|tok_050_099,43,2.0712721292362657,9.504406396732774,40.75939839385276,-0.1273608311628575
step128,15,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_006_019,2,1.955873727798462,9.672223091125488,38.5709228515625,0.9999999999999999
step128,15,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_020_049,33,2.061261455217997,8.864298098015063,38.183730212124914,0.22387263161433327
step128,15,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_050_099,46,2.070786152196967,9.02547199829765,37.57110483750053,-0.09497445015921342
step128,15,surface_combo,word_start|other_punct_only|unknown_before_first_boundary|tok_006_019,29,2.0347245191705636,8.968350640658674,33.96137901832317,-0.4257012026210056
step128,15,surface_combo,word_start|other_punct_only|unknown_before_first_boundary|tok_020_049,8,2.1009149849414825,8.629397988319397,33.39157247543335,-0.03852180200657346
step128,15,surface_combo,word_start|sentence_punct_only|sentence_punct_token|tok_006_019,24,2.075097089012464,7.774114469687144,37.58258167902628,-0.12963092863874973
step128,15,surface_combo,word_start|sentence_punct_only|sentence_punct_token|tok_020_049,60,2.0718016147613527,7.239696137110392,38.72677545547485,0.26537685382359727
